timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2026-02-25 20:33:47,"$68,025.35",$1.36T,$55.34B,19.99M BTC,4.3% (24h),,
2026-02-28 16:45:49,"$64,991.69",$1.29T,$40.5B,19.99M BTC,1.19% (24h),,
2026-02-28 11:18:04,"$64,813.33",$1.29T,$39.88B,19.99M BTC,1.8% (24h),,
2026-02-28 11:46:47,"$65,070.13",$1.3T,$39.65B,19.99M BTC,1.08% (24h),,
2026-02-28 12:02:24,"$65,079.24",$1.3T,$39.02B,19.99M BTC,0.7% (24h),,
2026-02-28 12:35:41,"$65,095.97",$1.3T,$38.42B,19.99M BTC,0.3% (24h),,
2026-02-28 12:54:25,"$65,148.35",$1.3T,$38.14B,19.99M BTC,0.69% (24h),,
2026-02-28 13:44:05,"$65,655.61",$1.31T,$37.57B,19.99M BTC,0.14% (24h),,
2026-02-28 14:12:10,"$65,693.59",$1.31T,$38.66B,19.99M BTC,0.69% (24h),,
2026-02-28 14:38:33,"$66,391.37",$1.32T,$38.62B,19.99M BTC,1.53% (24h),,
2026-02-28 14:53:33,"$66,521.36",$1.33T,$38.48B,19.99M BTC,1.72% (24h),,
2026-02-28 15:35:30,"$66,723.18",$1.33T,$39.61B,19.99M BTC,1.76% (24h),,
2026-02-28 15:56:50,"$66,905.73",$1.33T,$39.7B,19.99M BTC,1.96% (24h),,
2026-02-28 16:29:54,"$66,485.02",$1.32T,$40.08B,19.99M BTC,1.16% (24h),,
2026-02-28 16:48:49,"$66,833.60",$1.33T,$40.36B,19.99M BTC,1.87% (24h),,
2026-02-28 17:02:25,"$66,691.62",$1.33T,$40.74B,19.99M BTC,1.77% (24h),,
2026-02-28 17:38:40,"$67,605.05",$1.35T,$41.34B,19.99M BTC,3.61% (24h),,
2026-02-28 17:57:24,"$67,291.57",$1.34T,$41.57B,19.99M BTC,2.66% (24h),,
2026-02-28 18:32:19,"$66,991.57",$1.33T,$41.78B,19.99M BTC,1.7% (24h),,
2026-02-28 18:55:16,"$66,988.88",$1.33T,$41.81B,19.99M BTC,1.69% (24h),,
2026-02-28 21:57:21,"$67,679.41",$1.35T,$46.88B,19.99M BTC,2.58% (24h),,
2026-03-01 00:02:24,"$67,390.94",$1.34T,$48.84B,19.99M BTC,2.63% (24h),,
2026-03-01 01:05:03,"$67,256.74",$1.34T,$49.13B,19.99M BTC,2.57% (24h),,
2026-03-01 02:05:11,"$66,835.17",$1.33T,$46.11B,19.99M BTC,5.17% (24h),,
2026-03-01 02:48:37,"$67,117.01",$1.34T,$43.88B,19.99M BTC,4.81% (24h),,
2026-03-01 03:02:42,"$67,147.59",$1.34T,$43.49B,19.99M BTC,5.5% (24h),,
2026-03-01 03:49:00,"$67,031.57",$1.34T,$43.29B,19.99M BTC,5.29% (24h),,
2026-03-01 04:18:50,"$66,749.73",$1.33T,$43.62B,19.99M BTC,4.88% (24h),,
2026-03-01 04:49:53,"$66,343.01",$1.32T,$43.62B,19.99M BTC,4.26% (24h),,
2026-03-01 05:15:16,"$66,514.00",$1.33T,$43.48B,19.99M BTC,4.63% (24h),,
2026-03-01 05:48:16,"$66,500.96",$1.32T,$42.6B,19.99M BTC,4.05% (24h),,
2026-03-01 06:03:20,"$66,459.51",$1.32T,$42.57B,19.99M BTC,3.61% (24h),,
2026-03-01 06:34:10,"$66,515.60",$1.33T,$41.93B,19.99M BTC,3.58% (24h),,
2026-03-01 06:53:15,"$66,442.88",$1.32T,$41.06B,19.99M BTC,3.77% (24h),,
2026-03-01 08:05:12,"$66,303.58",$1.32T,$40.96B,19.99M BTC,3.67% (24h),,
2026-03-01 08:49:59,"$66,376.97",$1.32T,$40.55B,19.99M BTC,3% (24h),,
2026-03-01 09:15:35,"$67,047.22",$1.34T,$40.26B,19.99M BTC,3.42% (24h),,
2026-03-01 09:46:33,"$66,858.39",$1.33T,$39.97B,19.99M BTC,2.84% (24h),,
2026-03-01 10:02:03,"$66,913.23",$1.33T,$39.68B,19.99M BTC,3.74% (24h),,
2026-03-01 10:37:33,"$67,131.47",$1.34T,$39.47B,19.99M BTC,3.45% (24h),,
2026-03-01 10:56:07,"$67,103.00",$1.34T,$39.39B,19.99M BTC,3.44% (24h),,
2026-03-01 11:39:18,"$67,017.01",$1.34T,$39.85B,19.99M BTC,3.23% (24h),,
2026-03-01 12:01:06,"$66,168.18",$1.32T,$40.41B,19.99M BTC,1.62% (24h),,
2026-03-01 12:35:25,"$66,054.97",$1.32T,$40.55B,19.99M BTC,1.42% (24h),N/A,N/A
